reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
a62bd509-14c4-4210-a4d9-fbf838ee55b9,Ashutosh singh,https://play-lh.googleusercontent.com/a-/ALV-UjWAXRsAoDzEQckq1hJwX8RwfYyw23AvgGdTJVwTBceq4XQ0dVIB,product apne final destination par 2 din phale ata hai apne delivery date se delivery kitane din baad hoga pta nahi,1,0,32.12.2.300,16-06-2026 17:53,,,32.12.2.300
7090e50b-43a8-42eb-b0b0-a84017004afc,Karthick SR,https://play-lh.googleusercontent.com/a-/ALV-UjUd32pQRBl8MrDJTX2tHhOnSWff6DpEShvsS8vGjNMnkERAwLCnAQ,"Always crashes and not connecting to internet properly, developers kindly lookinto this.",3,1,32.12.2.300,16-06-2026 17:52,,,32.12.2.300
b6b4fb30-3017-470d-8200-30236a7fa1ea,Ankit Agam,https://play-lh.googleusercontent.com/a/ACg8ocKm-KuD5x-6kR19N_O4WbeSdqq0rh64-S73rVqNbF2lO7zeI9US=mo,useful,5,0,32.12.2.300,16-06-2026 17:49,,,32.12.2.300
87ef5036-74f0-471c-94df-0b4e6af4ddc9,tarun sen,https://play-lh.googleusercontent.com/a-/ALV-UjXNUQqcsZU35re14dhRlVieKrG-agQsRdKtCY6KgpcRnAVKTVf9gA,bad service basterd company,1,0,22.9.0.300,16-06-2026 17:49,,,22.9.0.300
5b800ee2-98ae-44b3-af8b-8f23d960858c,Ramesh Negi,https://play-lh.googleusercontent.com/a/ACg8ocKMSlxG1LWPkxkwY66uE39GoCSdj6j7uPnnFkQ7qe7eXo8hPw=mo,Bahut he bakwas service specially customer care and mail id no response i have a account in wallet by default send one created old account money not refunding amazon chor,1,0,,16-06-2026 17:38,,,
ad1e4371-1651-429e-9dd4-dba746de8579,Aditya Walmiki,https://play-lh.googleusercontent.com/a/ACg8ocKu05F-ZtnUDns0H9CpCEFyQjIkKBoUDRjFtNLz0nkWpv2rIw=mo,good 👍,1,0,18.5.2.350,16-06-2026 17:32,,,18.5.2.350
a2ae364a-9ca8-433b-a6eb-1b32337097fc,Bishal Gamer,https://play-lh.googleusercontent.com/a/ACg8ocLMrD_t8EEcUIXcgzmebMpJoarqzWCkMWbme_5IfEgcVC3tzQ=mo,best app because prize bught,5,0,32.12.2.300,16-06-2026 17:21,,,32.12.2.300
094e9833-9a13-4527-ad30-a1e72c184bcb,indian free fire,https://play-lh.googleusercontent.com/a-/ALV-UjVox7dPfXooB3PkiO_wwDuggu8NUU8-LdrwwYBv27e50kRpoLyb,good app,5,0,28.12.0.300,16-06-2026 17:08,,,28.12.0.300
a36755f4-7594-4122-bb48-d83e2c297c18,DOLAT Kumawat,https://play-lh.googleusercontent.com/a/ACg8ocJTElu82VdsJKmrjVSQSztBvA0sI94BC0z9Qg8uB91UCiswfA=mo,nice,5,0,32.12.0.300,16-06-2026 16:57,,,32.12.0.300
63b008ab-cc04-4b6a-90a4-08e1e9da0133,Satpal Singh,https://play-lh.googleusercontent.com/a/ACg8ocK67o-6BmSWIZF3KkGb77lBjoQPhf_CAdri9SXQdxMSj9-9SFQ=mo,good app,5,0,32.12.2.300,16-06-2026 16:46,,,32.12.2.300
38f8413a-3f8f-45ad-82b4-d11b2e2ca272,Sumit,https://play-lh.googleusercontent.com/a/ACg8ocJt0FlogDrvVi118FigRQ6SMpzt1r67_ejc1N71cMhD0BtbqQ=mo,worst application,1,0,32.12.2.300,16-06-2026 16:43,,,32.12.2.300
dbc70648-eb7f-4e89-901b-b0ed96419af7,Ramesh Kumar,https://play-lh.googleusercontent.com/a/ACg8ocJUHNI4Y_pvsfI-Yq163yysyW8cPws_js-fDpoBoBURZtZSOg=mo,How can they leave scheduling of return to a third party? its time to tell Amazon ..Get lost,2,0,,16-06-2026 16:42,,,
e1eba36b-ad09-401d-925e-0ed1f6680949,Mithun Patidar,https://play-lh.googleusercontent.com/a/ACg8ocLCfwS7mqt4zyXsjZZiPrXfHv7KubByTIy3elnn46gaOzk4Sw=mo,"This is a fake app. Every time I have placed an order with 'Pay on Delivery', my parcel has been cancelled, and I haven't received a refund either. It is impossible to speak to customer care; this is a fraud.",1,0,32.12.2.300,16-06-2026 16:33,,,32.12.2.300
c8ce4d95-adc8-401b-930b-ed2ae5b2caad,Aman Gamer,https://play-lh.googleusercontent.com/a-/ALV-UjUfs-qeBhhMwm7N1J4IQp9pAZddY-Y7uDoYKZKBowNSeqmX79w,please fast processing speed,4,0,32.12.2.300,16-06-2026 16:29,,,32.12.2.300
0420966b-ef2e-4e71-9750-6131ee2c5f20,Pushpendra,https://play-lh.googleusercontent.com/a/ACg8ocJL64uRr-uYUI1lIdtHEe5RmL1KRiQak65zkib5lQSVlA79XA=mo,sabse achaa app apna time waste karne ke liye search karte hai uske alawa sab kuch dikhata hai search mein 👎👎👎 mera sabse badi galti yahi hai ki iss app ko use kiya kripyaa iss app ke piche apna time waste naa kare,1,0,,16-06-2026 16:24,,,
cd026b11-8fe5-411f-8a70-b4992148e2e9,Mohd Sahid,https://play-lh.googleusercontent.com/a-/ALV-UjVkiTsV26rvYTOeaaDukTNuf0FNYmfPj_xjRF8B51C85K4GgX3a,"Subject: Formal Complaint Regarding Fraudulent Delivery and Misuse of OTP ​Dear Amazon Support/Grievance Team, ​I am writing to formally report a fraudulent incident regarding my recent order. On June 15, 2026, I received a call from a delivery person. As I had already purchased the item from elsewhere, I requested him to take it back. ​The delivery person convinced me to share an OTP, falsely claiming that it was required to cancel the order and process the return. Due to being at work at Vo",1,0,32.12.2.300,16-06-2026 16:23,,,32.12.2.300
d96c4751-cde5-4d42-a3b1-6e24da991482,Rajkumar Dhiwar,https://play-lh.googleusercontent.com/a/ACg8ocLGqu-60DNmu8zqwqUZ-cTYKQlWQIeuRhBiyQMYgg8ZHqktYQ=mo,Run the app,5,0,,16-06-2026 16:19,,,
37a2484b-d1f6-4bdc-b95d-69b6e3df35fc,Rishika J.,https://play-lh.googleusercontent.com/a/ACg8ocLqjicpb1QOqEFI-4AoaQb7xN0hv-mOLtEZQVdE6mHXcaObQAg=mo,"Never buy on Amazon. Idk who is responsible but its just too wrong with my recent purchase. First they sended 2 repeated rings instead of 4 distinct ones then i wanted an exchange, now they gave only 2 rings. I asked for return 2 times in just 1 week now and they all refused to take it back saying ""there's not 4 rings"", how the hell am i supposed to give back the 4 rings i never got. Both of them didn't take it back while i have posted the refund under 'missing part' section only!",1,0,32.12.2.300,16-06-2026 16:16,,,32.12.2.300
